faculty,color,acronym,rgb
แพทยศาสตร์โรงพยาบาลจุฬาลงกรณ์,,,#000000
แผนกอิสระทันตแพทยศาสตร์,,,#000000
แผนกอิสระสัตวแพทยศาสตร์,,,#000000
มหาวิทยาลัยแพทยศาสตร์,,,#000000
สหเวชศาสตร์,สีม่วงคราม,สว.,#39006F
แพทยศาสตร์,สีเขียวแก่,พ.,#0B5401
ทันตแพทยศาสตร์,สีม่วง,ท.,#CFB0CE
เภสัชศาสตร์,สีเขียวมะกอก,ภ.,#597E1B
สัตวแพทยศาสตร์,สีฟ้าหม่น,สพ.,#77C3F8
เกษตรศาสตร์,,,#000000
แผนกสถาปัตยกรรมวิทยาลัยเพาะช่าง,,,#000000
วิศวกรรมศาสตร์,สีเลือดหมู,วศ.,#760001
สถาปัตยกรรมศาสตร์,สีน้ำตาล,สถ.,#921920
โรงเรียนกฎหมายกระทรวงยุติธรรม,,,#000000
รัฎฐประศาสนศาสตร์,,,#000000
ธรรมศาสตร์,,,#000000
วิชาการหนังสือพิมพ์,,,#000000
นิเทศศาสตร์,สีน้ำเงิน,นศ.,#000077
รัฐศาสตร์,สีดำ,ร.,#000000
นิติศาสตร์,สีขาว,น.,#FFFFFF
เศรษฐศาสตร์,สีทอง,ศ.,#FED009
พาณิชยศาสตร์และการบัญชี,สีฟ้า,พศ.,#16B0FE
อักษรศาสตร์,สีเทา,อ.,#6D6D6D
วิทยาศาสตร์,สีเหลือง,วท.,#FFFF0B
อักษรศาสตร์และวิทยาศาสตร์,,,#000000
ครุศาสตร์,สีแสด,ค.,#FB2D08
พยาบาลศาสตร์,สีแดงชาด,พย.,#B3000B
จิตวิทยา,สีน้ำเงินแก่อมม่วง,จ.,#0000C1
สำนักวิชาวิทยาศาสตร์การกีฬา,,,#000000
วิทยาศาสตร์การกีฬา,สีส้ม,วก.,#FD9408
หน่วยงานวิชาการทางด้านศิลปกรรมศาสตร์,,,#000000
ศิลปกรรมศาสตร์,สีแดงเลือดนก,ศป.,#FB0006
